OrderID,OrderDate,PropertyID,ProductID,Quantity,Sales
93,15-01-2015,4,73,1,15
94,15-01-2015,19,59,2,28
95,15-01-2015,12,84,3,225
96,16-01-2015,3,92,3,60
97,16-01-2015,12,34,2,10
98,16-01-2015,12,34,3,15
99,16-01-2015,1,64,2,54
100,16-01-2015,10,24,1,24
101,16-01-2015,12,31,3,60
102,16-01-2015,8,73,1,15
103,17-01-2015,19,78,1,20
104,17-01-2015,11,16,3,120
105,17-01-2015,4,50,2,66
106,17-01-2015,14,85,2,160
107,17-01-2015,16,56,2,76
108,18-01-2015,4,25,1,28
109,18-01-2015,13,90,2,276
110,18-01-2015,3,72,2,24
111,18-01-2015,3,39,2,90
112,18-01-2015,15,10,1,19
113,18-01-2015,15,15,3,72
114,18-01-2015,3,75,1,25
115,19-01-2015,10,4,2,80
116,19-01-2015,8,47,2,150
117,19-01-2015,15,34,3,15
118,20-01-2015,13,10,2,38
119,20-01-2015,17,79,2,206
120,20-01-2015,19,72,3,36
121,20-01-2015,5,5,2,80
122,20-01-2015,13,7,3,105
123,21-01-2015,20,22,1,3
124,21-01-2015,10,2,2,10
125,21-01-2015,11,3,3,9
126,21-01-2015,16,45,3,306
127,21-01-2015,18,91,1,14
128,21-01-2015,11,41,2,170
129,22-01-2015,2,39,1,45
130,22-01-2015,1,56,3,114
131,22-01-2015,4,59,3,42
132,22-01-2015,11,67,3,30
133,22-01-2015,9,29,3,18
134,22-01-2015,6,37,2,600
135,22-01-2015,4,38,1,250
136,22-01-2015,15,36,3,345
137,22-01-2015,15,66,1,21
138,22-01-2015,8,61,2,16
139,23-01-2015,8,2,3,15
140,23-01-2015,17,78,1,20
141,23-01-2015,11,14,3,45
142,23-01-2015,17,88,1,6
143,23-01-2015,14,16,1,40
144,23-01-2015,9,49,3,81
145,23-01-2015,5,69,3,123
146,23-01-2015,17,16,1,40
147,23-01-2015,8,68,3,90
148,23-01-2015,3,69,2,82
149,23-01-2015,8,73,1,15
150,24-01-2015,2,45,3,306
151,24-01-2015,18,77,2,80
152,24-01-2015,10,93,2,170
153,24-01-2015,17,50,3,99
154,24-01-2015,20,14,1,15
155,24-01-2015,1,52,3,54
156,24-01-2015,19,6,3,120
157,24-01-2015,9,56,2,76
158,24-01-2015,14,37,3,900
159,25-01-2015,9,90,3,414
160,25-01-2015,4,65,1,89
161,25-01-2015,18,58,2,170
162,25-01-2015,9,24,2,48
163,25-01-2015,17,41,2,170
164,25-01-2015,13,50,2,66
165,25-01-2015,4,93,3,255
166,25-01-2015,16,82,3,180
167,25-01-2015,8,13,3,60
168,26-01-2015,13,42,1,70
169,26-01-2015,8,90,2,276
170,26-01-2015,12,14,1,15
171,26-01-2015,7,9,1,14
172,26-01-2015,15,27,2,16
173,27-01-2015,17,92,2,40
174,27-01-2015,19,38,1,250
175,27-01-2015,20,87,3,90
176,27-01-2015,6,1,1,9
177,27-01-2015,20,67,2,20
178,27-01-2015,2,52,3,54
179,27-01-2015,20,68,1,30
180,27-01-2015,19,56,2,76
181,27-01-2015,13,81,3,9
182,27-01-2015,5,72,2,24
183,27-01-2015,9,16,2,80
184,28-01-2015,5,51,2,170
185,28-01-2015,2,24,1,24
186,28-01-2015,6,35,1,25
187,28-01-2015,20,11,3,30
188,28-01-2015,10,3,2,6
189,29-01-2015,14,64,1,27
190,29-01-2015,12,6,2,80
191,29-01-2015,17,70,1,117
192,29-01-2015,13,60,2,390
193,30-01-2015,18,68,2,60
194,30-01-2015,17,62,1,202
195,30-01-2015,8,36,1,115
196,30-01-2015,12,71,2,34
197,30-01-2015,12,54,2,300
198,30-01-2015,13,52,1,18
199,30-01-2015,20,58,3,255
200,31-01-2015,16,25,2,56
201,31-01-2015,14,27,3,24
202,31-01-2015,10,5,1,40
203,01-02-2015,18,11,2,20
204,01-02-2015,15,65,2,178
205,02-02-2015,1,42,3,210
206,02-02-2015,18,2,2,10
207,02-02-2015,7,53,1,20
208,02-02-2015,4,8,1,35
209,02-02-2015,2,63,1,27
210,02-02-2015,1,3,3,9
211,02-02-2015,17,75,3,75
212,02-02-2015,3,36,2,230
213,03-02-2015,3,33,3,30
214,03-02-2015,14,58,3,255
215,03-02-2015,5,39,1,45
216,03-02-2015,3,54,2,300
217,03-02-2015,19,81,1,3
218,03-02-2015,17,94,2,140
219,04-02-2015,1,2,3,15
220,04-02-2015,12,36,2,230
221,04-02-2015,1,53,3,60
222,05-02-2015,10,22,2,6
223,05-02-2015,1,6,3,120
224,05-02-2015,3,72,1,12
225,05-02-2015,2,9,1,14
226,06-02-2015,8,80,3,81
227,06-02-2015,7,46,1,115
228,06-02-2015,8,71,2,34
229,06-02-2015,15,30,2,12
230,07-02-2015,4,39,2,90
231,08-02-2015,3,36,1,115
232,08-02-2015,10,29,1,6
233,08-02-2015,9,64,1,27
234,08-02-2015,13,58,1,85
235,08-02-2015,1,5,1,40
236,08-02-2015,20,74,3,105
237,08-02-2015,7,33,2,20
238,09-02-2015,4,36,3,345
239,09-02-2015,17,34,3,15
240,09-02-2015,3,67,1,10
241,09-02-2015,20,93,1,85
242,09-02-2015,2,69,2,82
243,09-02-2015,7,53,2,40
244,10-02-2015,16,40,1,119
245,10-02-2015,19,15,3,72
246,10-02-2015,16,92,1,20
247,10-02-2015,16,39,1,45
248,10-02-2015,16,19,2,34
249,10-02-2015,5,49,3,81
250,10-02-2015,14,50,2,66
251,10-02-2015,14,66,1,21
252,11-02-2015,14,30,1,6
253,11-02-2015,5,12,3,87
254,11-02-2015,7,31,1,20
255,11-02-2015,11,78,3,60
256,11-02-2015,9,42,1,70
257,11-02-2015,20,65,2,178
258,11-02-2015,6,61,2,16
259,11-02-2015,5,89,2,90
260,11-02-2015,14,47,2,150
261,11-02-2015,17,38,2,500
262,12-02-2015,12,19,2,34
263,12-02-2015,12,37,2,600
264,12-02-2015,13,55,2,400
265,12-02-2015,14,2,2,10
266,12-02-2015,8,91,1,14
267,12-02-2015,10,55,1,200
268,12-02-2015,5,55,2,400
269,13-02-2015,7,49,3,81
270,13-02-2015,8,81,2,6
271,13-02-2015,10,86,2,430
272,13-02-2015,9,38,2,500
273,13-02-2015,12,58,3,255
274,13-02-2015,5,49,1,27
275,13-02-2015,8,72,3,36
276,13-02-2015,19,91,2,28
277,13-02-2015,12,75,2,50
278,13-02-2015,1,84,1,75
279,14-02-2015,6,51,3,255
280,14-02-2015,5,5,2,80
281,14-02-2015,14,44,1,55
282,14-02-2015,20,6,2,80
283,14-02-2015,3,61,2,16
284,14-02-2015,15,17,3,54
285,14-02-2015,7,44,2,110
286,15-02-2015,13,93,1,85
287,15-02-2015,18,21,3,150
288,15-02-2015,16,48,2,80
289,15-02-2015,10,40,2,238
290,15-02-2015,11,9,1,14
291,15-02-2015,10,12,1,29
292,15-02-2015,8,90,3,414
293,15-02-2015,12,38,2,500
294,16-02-2015,19,63,3,81
295,16-02-2015,18,51,2,170
296,16-02-2015,16,70,3,351
297,16-02-2015,18,61,2,16
298,16-02-2015,12,14,1,15
299,16-02-2015,4,4,2,80
300,16-02-2015,20,80,3,81
301,16-02-2015,20,33,1,10
302,17-02-2015,17,65,2,178
303,17-02-2015,16,35,3,75
304,17-02-2015,8,67,1,10
305,17-02-2015,4,47,2,150
306,17-02-2015,10,87,3,90
307,17-02-2015,19,77,1,40
308,17-02-2015,12,27,3,24
309,17-02-2015,12,60,1,195
310,18-02-2015,5,79,2,206
311,18-02-2015,17,4,3,120
312,18-02-2015,7,15,2,48
313,18-02-2015,5,61,1,8
314,18-02-2015,15,38,1,250
315,19-02-2015,20,75,3,75
316,19-02-2015,9,34,1,5
317,19-02-2015,13,94,1,70
318,19-02-2015,15,69,3,123
319,19-02-2015,3,9,2,28
320,19-02-2015,3,43,1,38
321,20-02-2015,18,21,3,150
322,20-02-2015,18,18,1,24
323,20-02-2015,15,73,2,30
324,20-02-2015,12,18,1,24
325,20-02-2015,18,23,1,85
326,20-02-2015,18,67,2,20
327,20-02-2015,1,34,1,5
328,20-02-2015,9,8,2,70
329,20-02-2015,10,84,3,225
330,20-02-2015,14,61,2,16
331,20-02-2015,10,91,1,14
332,20-02-2015,5,55,1,200
333,21-02-2015,18,12,1,29
334,21-02-2015,4,8,2,70
335,21-02-2015,12,63,3,81
336,21-02-2015,6,43,3,114
337,21-02-2015,8,18,1,24
338,21-02-2015,5,62,3,606
339,21-02-2015,7,14,2,30
340,21-02-2015,17,36,3,345
341,21-02-2015,19,29,3,18
342,21-02-2015,4,8,2,70
343,21-02-2015,3,18,1,24
344,22-02-2015,12,69,1,41
345,22-02-2015,20,42,1,70
346,22-02-2015,5,84,1,75
347,22-02-2015,8,85,2,160
348,22-02-2015,2,24,1,24
349,22-02-2015,7,81,1,3
350,22-02-2015,20,54,3,450
351,22-02-2015,8,5,1,40
352,23-02-2015,2,3,1,3
353,23-02-2015,5,39,1,45
354,23-02-2015,16,34,1,5
355,23-02-2015,5,76,2,160
356,24-02-2015,16,28,3,24
357,24-02-2015,11,61,1,8
358,24-02-2015,13,42,1,70
359,24-02-2015,9,46,1,115
360,24-02-2015,6,24,3,72
361,24-02-2015,7,72,2,24
362,24-02-2015,2,21,3,150
363,24-02-2015,12,88,2,12
364,24-02-2015,20,25,1,28
365,24-02-2015,16,2,2,10
366,24-02-2015,4,16,3,120
367,24-02-2015,15,61,3,24
368,25-02-2015,3,89,2,90
369,25-02-2015,7,38,3,750
370,25-02-2015,6,3,1,3
371,25-02-2015,17,64,2,54
372,26-02-2015,9,67,2,20
373,26-02-2015,6,27,3,24
374,26-02-2015,9,17,3,54
375,26-02-2015,4,63,2,54
376,26-02-2015,10,52,2,36
377,27-02-2015,16,9,1,14
378,27-02-2015,5,41,3,255
379,27-02-2015,2,4,3,120
380,27-02-2015,9,65,2,178
381,27-02-2015,16,90,1,138
382,27-02-2015,8,70,1,117
383,27-02-2015,20,47,1,75
384,27-02-2015,9,87,1,30
385,27-02-2015,15,45,3,306
386,27-02-2015,6,7,1,35
387,27-02-2015,20,33,3,30
388,27-02-2015,20,62,3,606
389,28-02-2015,8,16,1,40
390,28-02-2015,14,64,2,54
391,28-02-2015,7,74,1,35
392,28-02-2015,2,90,3,414
393,28-02-2015,8,22,3,9
394,28-02-2015,4,36,3,345
395,28-02-2015,9,26,2,26
396,28-02-2015,8,22,3,9
397,01-03-2015,8,55,1,200
398,01-03-2015,4,60,3,585
399,01-03-2015,12,13,2,40
400,01-03-2015,11,7,2,70
401,01-03-2015,7,94,1,70
402,01-03-2015,16,93,1,85
403,01-03-2015,13,76,2,160
404,02-03-2015,9,35,1,25
405,02-03-2015,2,73,1,15
406,02-03-2015,20,57,2,140
407,02-03-2015,9,6,1,40
408,02-03-2015,13,51,3,255
409,02-03-2015,13,56,1,38
410,02-03-2015,15,32,3,42
411,03-03-2015,16,30,1,6
412,03-03-2015,17,29,1,6
413,03-03-2015,11,49,3,81
414,03-03-2015,9,46,2,230
415,03-03-2015,11,76,1,80
416,03-03-2015,15,59,3,42
417,03-03-2015,8,16,1,40
418,03-03-2015,14,5,1,40
419,03-03-2015,11,12,1,29
420,03-03-2015,19,93,2,170
421,03-03-2015,19,48,3,120
422,04-03-2015,13,75,2,50
423,04-03-2015,4,22,1,3
424,04-03-2015,8,15,3,72
425,04-03-2015,14,45,1,102
426,04-03-2015,7,76,3,240
427,04-03-2015,1,87,2,60
428,05-03-2015,14,23,2,170
429,05-03-2015,9,83,3,180
430,05-03-2015,6,67,3,30
431,05-03-2015,17,87,2,60
432,06-03-2015,19,36,1,115
433,06-03-2015,1,88,2,12
434,06-03-2015,11,36,2,230
435,06-03-2015,8,25,2,56
436,06-03-2015,13,44,3,165
437,06-03-2015,1,78,3,60
438,06-03-2015,7,30,3,18
439,06-03-2015,5,78,2,40
440,07-03-2015,20,54,3,450
441,07-03-2015,6,19,3,51
442,07-03-2015,16,30,2,12
443,07-03-2015,18,29,3,18
444,07-03-2015,10,3,3,9
445,07-03-2015,3,67,1,10
446,08-03-2015,18,44,2,110
447,08-03-2015,11,10,3,57
448,08-03-2015,8,85,1,80
449,08-03-2015,11,61,2,16
450,08-03-2015,14,53,1,20
451,08-03-2015,5,4,3,120
452,09-03-2015,12,55,2,400
453,09-03-2015,7,41,3,255
454,09-03-2015,20,10,2,38
455,09-03-2015,2,59,3,42
456,10-03-2015,5,73,2,30
457,10-03-2015,2,90,1,138
458,10-03-2015,20,22,2,6
459,11-03-2015,17,80,2,54
460,11-03-2015,4,15,1,24
461,11-03-2015,8,53,1,20
462,11-03-2015,20,18,3,72
463,11-03-2015,19,2,2,10
464,12-03-2015,19,83,3,180
465,12-03-2015,1,15,2,48
466,12-03-2015,8,6,2,80
467,12-03-2015,18,48,3,120
468,13-03-2015,1,14,2,30
469,13-03-2015,11,47,3,225
470,13-03-2015,6,46,2,230
471,13-03-2015,12,73,2,30
472,13-03-2015,19,77,3,120
473,13-03-2015,11,81,3,9
474,14-03-2015,8,19,2,34
475,14-03-2015,13,91,2,28
476,14-03-2015,4,89,1,45
477,14-03-2015,2,14,2,30
478,14-03-2015,9,25,1,28
479,14-03-2015,8,80,1,27
480,14-03-2015,16,24,2,48
481,14-03-2015,7,28,3,24
482,14-03-2015,6,83,3,180
483,14-03-2015,3,42,1,70
484,15-03-2015,20,10,1,19
485,15-03-2015,14,69,3,123
486,15-03-2015,13,37,2,600
487,15-03-2015,5,73,1,15
488,15-03-2015,8,1,1,9
489,15-03-2015,2,26,1,13
490,15-03-2015,16,83,3,180
491,15-03-2015,20,34,1,5
492,15-03-2015,13,1,1,9
493,16-03-2015,19,94,1,70
494,16-03-2015,10,11,3,30
495,16-03-2015,13,8,2,70
496,16-03-2015,20,38,1,250
497,16-03-2015,13,44,1,55
498,17-03-2015,20,25,1,28
499,17-03-2015,18,73,1,15
500,18-03-2015,12,12,1,29
501,18-03-2015,15,22,1,3
502,18-03-2015,10,17,1,18
503,18-03-2015,7,33,2,20
504,18-03-2015,7,53,1,20
505,18-03-2015,10,40,2,238
506,19-03-2015,12,46,1,115
507,19-03-2015,13,25,2,56
508,19-03-2015,15,83,2,120
509,19-03-2015,17,61,1,8
510,19-03-2015,17,68,1,30
511,19-03-2015,19,48,1,40
512,19-03-2015,2,66,2,42
513,19-03-2015,7,45,1,102
514,19-03-2015,11,80,3,81
515,19-03-2015,9,5,3,120
516,20-03-2015,7,33,3,30
517,20-03-2015,8,52,2,36
518,20-03-2015,3,60,1,195
519,20-03-2015,4,64,3,81
520,20-03-2015,6,36,1,115
521,20-03-2015,10,40,2,238
522,20-03-2015,2,70,3,351
523,21-03-2015,8,83,2,120
524,21-03-2015,3,69,1,41
525,21-03-2015,2,64,3,81
526,21-03-2015,9,58,2,170
527,21-03-2015,13,86,1,215
528,21-03-2015,4,41,2,170
529,22-03-2015,9,92,3,60
530,22-03-2015,5,68,1,30
531,22-03-2015,3,75,3,75
532,22-03-2015,13,33,3,30
533,22-03-2015,10,75,3,75
534,22-03-2015,1,64,3,81
535,22-03-2015,8,78,3,60
536,23-03-2015,7,3,3,9
537,23-03-2015,16,60,2,390
538,23-03-2015,5,61,3,24
539,23-03-2015,5,69,1,41
540,23-03-2015,10,68,3,90
541,23-03-2015,1,63,3,81
542,23-03-2015,8,92,3,60
543,24-03-2015,8,4,2,80
544,24-03-2015,15,74,3,105
545,24-03-2015,18,68,3,90
546,24-03-2015,9,47,3,225
547,24-03-2015,10,39,1,45
548,25-03-2015,19,94,2,140
549,25-03-2015,5,6,2,80
550,25-03-2015,10,63,2,54
551,25-03-2015,4,41,1,85
552,25-03-2015,9,65,3,267
553,25-03-2015,9,91,3,42
554,25-03-2015,13,43,1,38
555,25-03-2015,16,7,2,70
556,25-03-2015,17,74,2,70
557,25-03-2015,15,26,2,26
558,25-03-2015,2,45,2,204
559,26-03-2015,6,61,3,24
560,26-03-2015,2,73,1,15
561,26-03-2015,20,93,2,170
562,26-03-2015,5,19,3,51
563,26-03-2015,2,81,2,6
564,26-03-2015,18,40,1,119
565,27-03-2015,3,52,3,54
566,27-03-2015,8,29,1,6
567,27-03-2015,19,4,3,120
568,27-03-2015,18,20,1,30
569,27-03-2015,18,28,1,8
570,28-03-2015,10,58,3,255
571,28-03-2015,18,36,3,345
572,28-03-2015,5,44,1,55
573,28-03-2015,2,5,1,40
574,28-03-2015,7,67,1,10
575,28-03-2015,20,84,2,150
576,28-03-2015,7,43,2,76
577,29-03-2015,7,49,3,81
578,29-03-2015,13,52,1,18
579,29-03-2015,18,2,2,10
580,29-03-2015,16,78,3,60
581,29-03-2015,18,52,1,18
582,30-03-2015,5,53,2,40
583,30-03-2015,8,70,3,351
584,30-03-2015,2,21,3,150
585,30-03-2015,3,9,1,14
586,30-03-2015,2,39,2,90
587,30-03-2015,18,71,3,51
588,31-03-2015,7,11,1,10
589,31-03-2015,11,7,3,105
590,31-03-2015,8,22,1,3
591,31-03-2015,1,12,2,58
592,31-03-2015,1,84,1,75
593,31-03-2015,2,61,3,24
594,31-03-2015,20,83,1,60
595,31-03-2015,6,31,1,20
596,01-04-2015,4,73,2,30
597,01-04-2015,4,37,2,600
598,01-04-2015,20,64,2,54
599,01-04-2015,14,88,2,12
600,01-04-2015,6,44,2,110
601,01-04-2015,3,56,3,114
602,01-04-2015,8,43,1,38
603,02-04-2015,5,58,3,255
604,02-04-2015,18,20,3,90
605,02-04-2015,17,31,2,40
606,02-04-2015,3,49,3,81
607,02-04-2015,9,5,3,120
608,02-04-2015,6,47,1,75
609,03-04-2015,10,85,3,240
610,03-04-2015,7,51,2,170
611,03-04-2015,11,12,2,58
612,03-04-2015,7,63,1,27
613,03-04-2015,4,82,1,60
614,03-04-2015,2,3,2,6
615,03-04-2015,3,24,1,24
616,03-04-2015,17,16,3,120
617,03-04-2015,10,43,1,38
618,03-04-2015,14,20,2,60
619,04-04-2015,19,51,2,170
620,04-04-2015,14,28,2,16
621,04-04-2015,20,80,2,54
622,04-04-2015,18,42,3,210
623,04-04-2015,20,34,3,15
624,05-04-2015,8,55,1,200
625,05-04-2015,9,62,1,202
626,05-04-2015,5,38,1,250
627,05-04-2015,5,17,1,18
628,05-04-2015,5,17,3,54
629,05-04-2015,13,31,3,60
630,06-04-2015,16,18,3,72
631,06-04-2015,9,29,3,18
632,06-04-2015,14,25,2,56
633,06-04-2015,8,1,3,27
634,06-04-2015,5,90,2,276
635,06-04-2015,15,66,1,21
636,06-04-2015,5,78,3,60
637,06-04-2015,4,32,2,28
638,07-04-2015,9,23,1,85
639,07-04-2015,13,3,1,3
640,07-04-2015,11,72,3,36
641,07-04-2015,16,42,2,140
642,07-04-2015,12,50,3,99
643,07-04-2015,11,25,2,56
644,08-04-2015,2,93,3,255
645,08-04-2015,18,88,2,12
646,08-04-2015,15,91,3,42
647,08-04-2015,20,20,1,30
648,08-04-2015,10,38,3,750
649,08-04-2015,18,44,2,110
650,09-04-2015,5,41,3,255
651,09-04-2015,3,31,3,60
652,09-04-2015,10,6,1,40
653,09-04-2015,7,23,1,85
654,09-04-2015,16,60,2,390
655,09-04-2015,4,13,3,60
656,10-04-2015,6,91,2,28
657,10-04-2015,13,72,1,12
658,10-04-2015,4,31,1,20
659,10-04-2015,18,50,2,66
660,10-04-2015,2,28,1,8
661,10-04-2015,20,22,2,6
662,10-04-2015,9,84,3,225
663,10-04-2015,12,32,2,28
664,10-04-2015,2,20,2,60
665,11-04-2015,2,74,3,105
666,11-04-2015,17,73,3,45
667,11-04-2015,6,15,2,48
668,11-04-2015,16,31,2,40
669,11-04-2015,5,34,1,5
670,11-04-2015,7,94,1,70
671,12-04-2015,8,69,2,82
672,12-04-2015,11,82,3,180
673,12-04-2015,3,66,2,42
674,12-04-2015,9,7,1,35
675,12-04-2015,4,75,3,75
676,12-04-2015,11,30,1,6
677,13-04-2015,17,15,1,24
678,13-04-2015,7,53,2,40
679,13-04-2015,14,40,3,357
680,13-04-2015,10,37,2,600
681,13-04-2015,20,78,1,20
682,14-04-2015,12,19,3,51
683,14-04-2015,7,92,2,40
684,14-04-2015,13,45,1,102
685,14-04-2015,18,91,1,14
686,14-04-2015,2,58,2,170
687,14-04-2015,15,64,2,54
688,14-04-2015,8,11,3,30
689,15-04-2015,12,7,2,70
690,15-04-2015,10,86,2,430
691,15-04-2015,4,60,1,195
692,15-04-2015,16,79,3,309
693,15-04-2015,1,2,3,15
694,15-04-2015,6,39,2,90
695,15-04-2015,1,33,2,20
696,15-04-2015,7,76,1,80
697,15-04-2015,14,28,3,24
698,16-04-2015,6,7,3,105
699,16-04-2015,12,60,2,390
700,16-04-2015,14,23,3,255
701,16-04-2015,19,49,1,27
702,16-04-2015,8,19,2,34
703,16-04-2015,13,8,1,35
704,16-04-2015,15,63,2,54
705,16-04-2015,16,10,1,19
706,17-04-2015,5,39,3,135
707,17-04-2015,18,68,1,30
708,17-04-2015,7,1,3,27
709,17-04-2015,11,84,1,75
710,17-04-2015,13,93,2,170
711,18-04-2015,11,59,2,28
712,18-04-2015,17,25,1,28
713,18-04-2015,18,63,1,27
714,18-04-2015,2,22,3,9
715,18-04-2015,19,56,3,114
716,18-04-2015,20,82,2,120
717,19-04-2015,12,52,3,54
718,19-04-2015,20,78,2,40
719,19-04-2015,11,75,2,50
720,19-04-2015,15,92,3,60
721,19-04-2015,17,45,1,102
722,19-04-2015,12,89,1,45
723,19-04-2015,9,63,2,54
724,19-04-2015,20,30,2,12
725,19-04-2015,4,66,3,63
726,20-04-2015,8,90,1,138
727,20-04-2015,18,5,2,80
728,20-04-2015,6,7,1,35
729,20-04-2015,8,76,2,160
730,20-04-2015,5,51,3,255
731,21-04-2015,1,70,3,351
732,21-04-2015,9,14,2,30
733,21-04-2015,18,71,2,34
734,21-04-2015,20,52,3,54
735,21-04-2015,11,48,1,40
736,21-04-2015,7,10,1,19
737,21-04-2015,10,25,3,84
738,22-04-2015,8,35,3,75
739,22-04-2015,1,30,1,6
740,22-04-2015,1,90,2,276
741,22-04-2015,11,86,2,430
742,22-04-2015,20,75,1,25
743,22-04-2015,6,36,3,345
744,22-04-2015,20,87,3,90
745,22-04-2015,14,16,3,120
746,22-04-2015,17,80,1,27
747,22-04-2015,1,31,3,60
748,23-04-2015,12,9,2,28
749,23-04-2015,9,91,1,14
750,23-04-2015,1,84,1,75
751,23-04-2015,4,14,1,15
752,23-04-2015,7,5,1,40
753,23-04-2015,10,71,2,34
754,23-04-2015,13,78,3,60
755,23-04-2015,1,18,1,24
756,23-04-2015,15,68,2,60
757,24-04-2015,8,55,3,600
758,24-04-2015,13,68,3,90
759,25-04-2015,17,84,2,150
760,25-04-2015,19,29,3,18
761,25-04-2015,4,71,3,51
762,26-04-2015,7,65,2,178
763,26-04-2015,11,52,1,18
764,26-04-2015,5,73,3,45
765,26-04-2015,10,26,1,13
766,26-04-2015,8,8,2,70
767,26-04-2015,7,32,3,42
768,27-04-2015,8,73,1,15
769,27-04-2015,2,81,3,9
770,27-04-2015,10,48,1,40
771,27-04-2015,10,88,3,18
772,27-04-2015,11,45,2,204
773,27-04-2015,14,9,1,14
774,27-04-2015,11,37,3,900
775,28-04-2015,16,63,3,81
776,28-04-2015,7,6,2,80
777,28-04-2015,20,85,2,160
778,28-04-2015,9,60,2,390
779,28-04-2015,15,63,1,27
780,28-04-2015,13,77,1,40
781,28-04-2015,14,81,2,6
782,28-04-2015,10,75,3,75
783,28-04-2015,7,67,3,30
784,29-04-2015,12,53,3,60
785,29-04-2015,14,46,1,115
786,29-04-2015,12,25,3,84
787,29-04-2015,15,76,2,160
788,29-04-2015,20,94,1,70
789,29-04-2015,17,42,2,140
790,29-04-2015,17,50,3,99
791,29-04-2015,16,47,2,150
792,29-04-2015,18,8,1,35
793,29-04-2015,6,48,3,120
794,30-04-2015,11,76,3,240
795,30-04-2015,14,58,2,170
796,30-04-2015,6,47,1,75
797,30-04-2015,18,9,1,14
798,01-05-2015,7,41,3,255
799,01-05-2015,3,91,1,14
800,01-05-2015,5,70,3,351
801,01-05-2015,9,42,2,140
802,01-05-2015,19,19,3,51
803,01-05-2015,18,1,3,27
804,02-05-2015,2,37,1,300
805,02-05-2015,8,93,1,85
806,02-05-2015,11,77,1,40
807,02-05-2015,15,91,2,28
808,02-05-2015,16,24,3,72
809,03-05-2015,16,56,3,114
810,03-05-2015,6,78,3,60
811,03-05-2015,2,18,2,48
812,03-05-2015,11,91,3,42
813,03-05-2015,19,25,1,28
814,03-05-2015,10,78,3,60
815,03-05-2015,18,11,2,20
816,03-05-2015,5,61,3,24
817,03-05-2015,9,50,3,99
818,03-05-2015,1,32,2,28
819,04-05-2015,8,93,1,85
